t,Date
0,2020-10-14
1,2020-10-15
2,2020-10-19
3,2020-10-20
4,2020-10-21
5,2020-10-22
6,2020-10-26
7,2020-10-27
8,2020-10-28
9,2020-10-29
10,2020-11-02
11,2020-11-03
12,2020-11-04
13,2020-11-05
14,2020-11-09
15,2020-11-10
16,2020-11-11
17,2020-11-12
18,2020-11-16
19,2020-11-17
20,2020-11-18
21,2020-11-19
22,2020-11-23
23,2020-11-24
24,2020-11-25
25,2020-11-30
26,2020-12-01
27,2020-12-02
28,2020-12-03
29,2020-12-07
30,2020-12-08
31,2020-12-09
32,2020-12-10
33,2020-12-14
34,2020-12-15
35,2020-12-16
36,2020-12-17
37,2020-12-21
38,2020-12-22
39,2020-12-23
40,2020-12-28
41,2020-12-29
42,2020-12-30
43,2021-01-04
44,2021-01-05
45,2021-01-06
46,2021-01-07
47,2021-01-11
48,2021-01-12
49,2021-01-13
50,2021-01-14
51,2021-01-19
52,2021-01-20
53,2021-01-21
54,2021-01-25
55,2021-01-26
56,2021-01-27
57,2021-01-28
58,2021-02-01
59,2021-02-02
60,2021-02-03
61,2021-02-04
62,2021-02-08
63,2021-02-09
64,2021-02-10
65,2021-02-11
66,2021-02-16
67,2021-02-17
68,2021-02-18
69,2021-02-22
70,2021-02-23
71,2021-02-24
72,2021-02-25
73,2021-03-01
74,2021-03-02
75,2021-03-03
76,2021-03-04
77,2021-03-08
78,2021-03-09
79,2021-03-10
80,2021-03-11
81,2021-03-15
82,2021-03-16
83,2021-03-17
84,2021-03-18
85,2021-03-22
86,2021-03-23
87,2021-03-24
88,2021-03-25
89,2021-03-29
90,2021-03-30
91,2021-03-31
92,2021-04-05
93,2021-04-06
94,2021-04-07
95,2021-04-08
96,2021-04-12
97,2021-04-13
98,2021-04-14
99,2021-04-15
100,2021-04-19
101,2021-04-20
102,2021-04-21
103,2021-04-22
104,2021-04-26
105,2021-04-27
106,2021-04-28
107,2021-04-29
108,2021-05-03
109,2021-05-04
110,2021-05-05
111,2021-05-06
112,2021-05-10
113,2021-05-11
114,2021-05-12
115,2021-05-13
116,2021-05-17
117,2021-05-18
118,2021-05-19
119,2021-05-20
120,2021-05-24
121,2021-05-25
122,2021-05-26
123,2021-05-27
124,2021-06-01
125,2021-06-02
126,2021-06-03
127,2021-06-07
128,2021-06-08
129,2021-06-09
130,2021-06-10
131,2021-06-14
132,2021-06-15
133,2021-06-16
134,2021-06-17
135,2021-06-21
136,2021-06-22
137,2021-06-23
138,2021-06-24
139,2021-06-28
140,2021-06-29
141,2021-06-30
142,2021-07-01
143,2021-07-06
144,2021-07-07
145,2021-07-08
146,2021-07-12
147,2021-07-13
148,2021-07-14
149,2021-07-15
150,2021-07-19
151,2021-07-20
152,2021-07-21
153,2021-07-22
154,2021-07-26
155,2021-07-27
156,2021-07-28
